incident_id,vehicle_id,incident_type,response_minutes,dispatch_time
INC-0065,E-05,Confined Space,10.48,2025-09-18 12:43:00
INC-0066,E-35,Vehicle Accident,8.08,2025-01-15 03:56:00
INC-0067,E-17,Vehicle Accident,11.28,2025-01-20 03:38:00
INC-0068,E-28,Vehicle Accident,14.27,2025-06-10 13:38:00
INC-0069,E-33,Structure Fire,12.51,2025-05-11 01:45:00
INC-0070,E-28,Medical Emergency,12.06,2025-09-24 17:43:00
INC-0071,E-13,Confined Space,7.87,2025-06-19 19:20:00
INC-0072,E-08,Confined Space,9.22,2025-06-03 16:19:00
INC-0073,E-27,Water Rescue,6.72,2025-03-07 06:26:00
INC-0074,E-25,Confined Space,11.93,2025-03-31 19:36:00
INC-0075,E-20,Vehicle Accident,4.57,2025-05-27 06:27:00
INC-0076,E-21,Hazmat,11.14,2025-08-15 14:43:00
INC-0077,E-14,High Rise Rescue,4.07,2025-03-28 21:05:00
INC-0078,E-19,Water Rescue,8.19,2025-12-06 20:39:00
INC-0079,E-22,Structure Fire,13.63,2025-12-11 09:14:00
INC-0080,E-13,Structure Fire,11.91,2025-01-13 01:15:00
INC-0081,E-31,Hazmat,5.23,2025-08-01 20:36:00
INC-0082,E-13,Confined Space,5.75,2025-12-23 12:31:00
INC-0083,E-26,Medical Emergency,8.64,2025-02-24 13:14:00
INC-0084,E-12,High Rise Rescue,12.15,2025-12-23 16:29:00
INC-0085,E-04,Medical Emergency,3.28,2025-08-22 04:51:00
INC-0086,E-30,Confined Space,6.53,2025-09-29 17:38:00
INC-0087,E-21,Water Rescue,13.51,2025-09-16 13:53:00
INC-0088,E-29,Structure Fire,6.87,2025-09-01 14:16:00
INC-0089,E-16,High Rise Rescue,9.58,2025-09-24 15:40:00
INC-0090,E-16,Vehicle Accident,6.8,2025-08-14 02:45:00
INC-0091,E-19,Water Rescue,8.72,2025-02-11 04:09:00
INC-0092,E-15,Hazmat,10.75,2025-12-22 04:45:00
INC-0093,E-14,Water Rescue,10.85,2025-08-27 13:03:00
INC-0094,E-14,High Rise Rescue,9.5,2025-08-04 12:57:00
INC-0095,E-02,Hazmat,11.15,2025-09-02 00:22:00
INC-0096,E-20,High Rise Rescue,5.16,2025-07-19 13:34:00
INC-0097,E-35,Hazmat,10.15,2025-04-23 08:27:00
INC-0098,E-32,Medical Emergency,3.42,2025-07-19 10:42:00
INC-0099,E-26,Structure Fire,7.73,2025-11-15 17:01:00
INC-0100,E-26,Water Rescue,3.77,2025-10-16 21:01:00
INC-0101,E-06,Hazmat,7.66,2025-04-04 01:16:00
INC-0102,E-25,Vehicle Accident,7.44,2025-04-19 14:20:00
INC-0103,E-22,High Rise Rescue,8.67,2025-08-04 08:53:00
INC-0104,E-06,Hazmat,6.07,2025-01-10 23:34:00
INC-0105,E-04,Confined Space,10.82,2025-02-05 20:02:00
INC-0106,E-02,Structure Fire,8.5,2025-04-13 00:39:00
INC-0107,E-10,Medical Emergency,8.7,2025-10-16 06:29:00
INC-0108,E-17,High Rise Rescue,11.32,2025-07-08 05:38:00
INC-0109,E-08,Vehicle Accident,8.76,2025-02-25 18:01:00
INC-0110,E-20,Water Rescue,7.03,2025-12-13 12:25:00
INC-0111,E-13,Confined Space,11.9,2025-05-05 03:44:00
INC-0112,E-20,High Rise Rescue,10.26,2025-12-17 19:51:00
INC-0113,E-08,Medical Emergency,9.42,2025-06-27 17:27:00
INC-0114,E-24,Medical Emergency,5.41,2025-09-17 20:21:00
INC-0115,E-01,Medical Emergency,11.22,2025-08-10 11:40:00
INC-0116,E-30,Confined Space,4.73,2025-03-20 13:11:00
INC-0117,E-34,High Rise Rescue,10.44,2025-10-03 15:29:00
INC-0118,E-28,High Rise Rescue,8.07,2025-10-31 08:20:00
INC-0119,E-16,Hazmat,9.02,2025-05-05 14:36:00
INC-0120,E-25,Vehicle Accident,7.57,2025-01-15 15:54:00
INC-0121,E-21,High Rise Rescue,9.22,2025-05-13 10:17:00
INC-0122,E-18,Water Rescue,10.07,2025-01-06 16:12:00
INC-0123,E-06,Water Rescue,8.64,2025-05-04 22:30:00
INC-0124,E-32,Hazmat,11.05,2025-01-09 02:18:00
INC-0125,E-15,Confined Space,6.96,2025-10-25 11:30:00
INC-0126,E-34,Vehicle Accident,9.56,2025-08-06 23:35:00
INC-0127,E-22,Vehicle Accident,6.86,2025-05-09 07:07:00
INC-0128,E-13,Vehicle Accident,10.71,2025-03-03 23:34:00
INC-0129,E-12,Vehicle Accident,9.97,2025-10-29 16:38:00
INC-0130,E-19,Medical Emergency,12.32,2025-04-10 09:14:00
INC-0131,E-24,Water Rescue,8.68,2025-03-06 08:02:00
INC-0132,E-04,Water Rescue,8.88,2025-05-30 22:08:00
INC-0133,E-32,Vehicle Accident,8.81,2025-08-29 15:28:00
INC-0134,E-22,Structure Fire,8.74,2025-01-27 08:55:00
INC-0135,E-31,Hazmat,9.19,2025-02-07 18:40:00
INC-0136,E-04,Structure Fire,9.1,2025-03-18 18:19:00
INC-0137,E-06,High Rise Rescue,9.75,2025-08-02 19:38:00
INC-0138,E-15,High Rise Rescue,8.45,2025-09-25 12:28:00
INC-0139,E-29,Hazmat,7.52,2025-06-06 18:39:00
INC-0140,E-04,Water Rescue,11.69,2025-02-20 06:40:00
INC-0141,E-14,Structure Fire,8.41,2025-03-30 17:04:00
INC-0142,E-11,Medical Emergency,9.52,2025-07-29 14:44:00
INC-0143,E-31,Confined Space,8.03,2025-05-25 22:55:00
INC-0144,E-30,Medical Emergency,10.25,2025-12-18 07:59:00
INC-0145,E-17,Confined Space,9.32,2025-04-12 13:07:00
INC-0146,E-35,Structure Fire,5.1,2025-11-28 04:58:00
INC-0147,E-18,Structure Fire,8.95,2025-06-07 19:47:00
INC-0148,E-19,Hazmat,7.65,2025-03-05 14:44:00
INC-0149,E-20,Water Rescue,6.64,2025-10-04 15:28:00
INC-0150,E-06,Water Rescue,2.82,2025-01-21 13:47:00
INC-0151,E-21,Structure Fire,8.04,2025-12-12 18:37:00
INC-0152,E-02,High Rise Rescue,8.15,2025-12-11 08:36:00
INC-0153,E-03,Water Rescue,8.63,2025-11-30 14:58:00
INC-0154,E-18,Structure Fire,6.95,2025-10-27 13:40:00
INC-0155,E-32,Hazmat,11.26,2025-06-20 10:42:00
INC-0156,E-07,High Rise Rescue,7.96,2025-03-24 10:26:00
INC-0157,E-32,High Rise Rescue,7.07,2025-10-09 01:29:00
INC-0158,E-06,Vehicle Accident,14.35,2025-05-10 10:07:00
INC-0159,E-26,Medical Emergency,11.58,2025-12-03 17:29:00
INC-0160,E-27,Medical Emergency,5.0,2025-04-07 16:23:00
INC-0161,E-32,Structure Fire,5.52,2025-05-17 17:08:00
INC-0162,E-19,Hazmat,5.51,2025-12-24 15:07:00
INC-0163,E-02,Structure Fire,11.88,2025-12-30 05:19:00
INC-0164,E-01,Water Rescue,7.92,2025-07-28 02:14:00
INC-0165,E-08,High Rise Rescue,7.29,2025-03-20 15:59:00
INC-0166,E-19,Water Rescue,8.8,2025-12-28 08:26:00
INC-0167,E-31,Water Rescue,10.35,2025-03-16 12:12:00
INC-0168,E-33,Confined Space,8.27,2025-03-11 02:17:00
INC-0169,E-27,Vehicle Accident,6.14,2025-01-02 09:46:00
INC-0170,E-20,High Rise Rescue,12.22,2025-10-28 18:42:00
INC-0171,E-32,Hazmat,10.3,2025-06-26 10:35:00
INC-0172,E-35,Hazmat,6.46,2025-08-22 10:55:00
INC-0173,E-13,Hazmat,10.33,2025-04-30 13:02:00
INC-0174,E-21,Confined Space,8.28,2025-08-31 22:58:00
INC-0175,E-25,High Rise Rescue,5.72,2025-11-30 04:31:00
INC-0176,E-03,Structure Fire,10.92,2025-09-15 18:21:00
INC-0177,E-07,Water Rescue,10.39,2025-08-22 00:46:00
INC-0178,E-10,Hazmat,6.59,2025-12-02 04:04:00
INC-0179,E-31,Water Rescue,8.89,2025-12-21 12:41:00
INC-0180,E-06,High Rise Rescue,6.58,2025-06-18 21:54:00
INC-0181,E-35,Confined Space,6.91,2025-09-07 17:02:00
INC-0182,E-05,Structure Fire,9.99,2025-11-20 21:58:00
INC-0183,E-19,Hazmat,12.64,2025-02-20 20:45:00
INC-0184,E-07,Hazmat,8.43,2025-03-27 22:19:00
INC-0185,E-02,Vehicle Accident,12.77,2025-07-03 11:27:00
INC-0186,E-10,Structure Fire,9.77,2025-09-29 13:36:00
INC-0187,E-12,High Rise Rescue,8.99,2025-07-15 19:43:00
INC-0188,E-16,Hazmat,9.39,2025-10-26 04:14:00
INC-0189,E-30,Confined Space,6.7,2025-01-05 14:57:00
INC-0190,E-19,Confined Space,6.39,2025-10-07 05:04:00
INC-0191,E-29,Vehicle Accident,15.48,2025-11-24 13:44:00
INC-0192,E-17,Hazmat,6.0,2025-06-04 06:24:00
INC-0193,E-31,Vehicle Accident,10.42,2025-10-22 09:44:00
INC-0194,E-19,Medical Emergency,10.02,2025-12-04 12:17:00
INC-0195,E-01,Confined Space,5.02,2025-01-26 19:47:00
INC-0196,E-32,High Rise Rescue,6.97,2025-05-27 07:38:00
INC-0197,E-23,Vehicle Accident,8.81,2025-12-14 23:49:00
INC-0198,E-09,Confined Space,10.09,2025-02-19 20:41:00
INC-0199,E-03,Water Rescue,7.52,2025-07-06 23:08:00
INC-0200,E-06,Vehicle Accident,11.01,2025-06-17 23:26:00
INC-0201,E-12,Vehicle Accident,9.84,2025-09-29 16:58:00
INC-0202,E-18,High Rise Rescue,12.69,2025-03-26 08:58:00
INC-0203,E-31,High Rise Rescue,10.55,2025-06-23 03:29:00
INC-0204,E-05,Structure Fire,8.07,2025-04-26 21:46:00
INC-0205,E-26,Vehicle Accident,12.92,2025-02-16 12:00:00
INC-0206,E-17,Water Rescue,7.58,2025-03-05 14:23:00
INC-0207,E-17,Vehicle Accident,4.49,2025-02-25 21:14:00
INC-0208,E-31,Medical Emergency,6.15,2025-11-14 17:20:00
INC-0209,E-15,Hazmat,6.37,2025-12-25 09:41:00
INC-0210,E-27,Medical Emergency,5.66,2025-03-13 01:02:00
INC-0211,E-20,Structure Fire,9.74,2025-10-03 04:24:00
INC-0212,E-30,Vehicle Accident,8.47,2025-12-10 23:44:00
INC-0213,E-35,Structure Fire,4.9,2025-08-01 20:06:00
INC-0214,E-32,Water Rescue,10.5,2025-07-28 08:02:00
INC-0215,E-24,Structure Fire,9.05,2025-07-05 03:43:00
INC-0216,E-24,Water Rescue,11.15,2025-11-27 11:03:00
INC-0217,E-26,High Rise Rescue,7.44,2025-08-21 02:42:00
INC-0218,E-14,Confined Space,14.98,2025-11-24 19:01:00
INC-0219,E-04,Structure Fire,8.93,2025-10-17 06:04:00
INC-0220,E-14,Water Rescue,6.68,2025-04-21 07:21:00
INC-0221,E-10,Vehicle Accident,9.31,2025-03-16 04:34:00
INC-0222,E-17,High Rise Rescue,5.23,2025-03-31 03:42:00
INC-0223,E-02,High Rise Rescue,10.09,2025-05-02 18:20:00
INC-0224,E-02,Structure Fire,10.23,2025-05-16 01:08:00
INC-0225,E-27,Hazmat,4.42,2025-08-18 11:32:00
INC-0226,E-07,Hazmat,7.82,2025-09-15 07:39:00
INC-0227,E-03,Confined Space,7.72,2025-09-24 09:29:00
INC-0228,E-02,Medical Emergency,3.09,2025-09-03 12:27:00
INC-0229,E-07,Medical Emergency,3.03,2025-02-11 10:38:00
INC-0230,E-10,Medical Emergency,8.84,2025-03-06 08:39:00
INC-0231,E-21,Vehicle Accident,6.03,2025-08-21 16:38:00
INC-0232,E-28,Medical Emergency,10.79,2025-12-26 03:54:00
INC-0233,E-14,Hazmat,3.76,2025-06-23 14:25:00
INC-0234,E-27,Confined Space,10.73,2025-02-18 10:27:00
INC-0235,E-21,Structure Fire,7.27,2025-12-18 15:04:00
INC-0236,E-06,High Rise Rescue,6.42,2025-02-13 02:27:00
INC-0237,E-07,Structure Fire,8.42,2025-10-12 01:37:00
INC-0238,E-22,Confined Space,6.09,2025-03-04 13:22:00
INC-0239,E-28,Vehicle Accident,11.2,2025-11-04 09:22:00
INC-0240,E-07,Water Rescue,5.56,2025-09-17 06:09:00
INC-0241,E-31,High Rise Rescue,8.69,2025-10-12 11:07:00
INC-0242,E-18,Water Rescue,9.68,2025-04-26 13:54:00
INC-0243,E-02,Confined Space,5.66,2025-05-17 00:11:00
INC-0244,E-18,Confined Space,6.18,2025-06-08 10:22:00
INC-0245,E-01,Confined Space,9.08,2025-07-25 02:09:00
INC-0246,E-02,Medical Emergency,9.76,2025-09-29 06:24:00
INC-0247,E-27,Vehicle Accident,7.1,2025-06-16 18:38:00
INC-0248,E-06,Medical Emergency,8.92,2025-03-21 05:48:00
INC-0249,E-04,Confined Space,7.58,2025-08-06 15:38:00
INC-0250,E-29,Hazmat,6.73,2025-05-20 06:48:00
INC-0251,E-33,Vehicle Accident,10.5,2025-12-14 21:37:00
INC-0252,E-32,Water Rescue,10.24,2025-12-08 09:02:00
INC-0253,E-15,Medical Emergency,5.82,2025-04-15 09:13:00
INC-0254,E-09,High Rise Rescue,10.57,2025-05-11 09:20:00
INC-0255,E-08,Structure Fire,12.64,2025-03-08 12:34:00
INC-0256,E-15,Water Rescue,8.7,2025-10-14 21:51:00
INC-0257,E-23,Medical Emergency,12.97,2025-08-12 00:29:00
INC-0258,E-05,High Rise Rescue,10.68,2025-06-10 18:27:00
INC-0259,E-26,Medical Emergency,7.85,2025-07-27 00:20:00
INC-0260,E-11,High Rise Rescue,5.98,2025-11-13 14:53:00
INC-0261,E-24,Structure Fire,12.6,2025-08-12 18:25:00
INC-0262,E-34,Medical Emergency,11.04,2025-07-22 09:47:00
INC-0263,E-22,Medical Emergency,9.27,2025-09-19 20:07:00
INC-0264,E-34,Water Rescue,12.78,2025-04-10 11:22:00
INC-0265,E-10,Structure Fire,8.62,2025-03-30 19:09:00
INC-0266,E-05,Structure Fire,9.9,2025-11-18 15:29:00
INC-0267,E-29,Confined Space,6.33,2025-11-22 19:20:00
INC-0268,E-21,Structure Fire,3.81,2025-08-14 02:30:00
INC-0269,E-29,Water Rescue,5.48,2025-01-29 11:32:00
INC-0270,E-05,Vehicle Accident,5.22,2025-08-25 14:02:00
INC-0271,E-04,Confined Space,7.1,2025-02-16 19:38:00
INC-0272,E-33,Hazmat,10.01,2025-08-25 18:35:00
INC-0273,E-03,Confined Space,4.17,2025-04-07 10:38:00
INC-0274,E-31,Water Rescue,9.91,2025-03-19 01:28:00
INC-0275,E-07,Confined Space,10.28,2025-02-13 16:41:00
INC-0276,E-12,Medical Emergency,4.08,2025-05-07 22:28:00
INC-0277,E-29,Vehicle Accident,5.11,2025-07-10 09:24:00
INC-0278,E-27,High Rise Rescue,7.98,2025-06-23 21:38:00
INC-0279,E-04,Medical Emergency,9.38,2025-06-18 03:35:00
INC-0280,E-25,Vehicle Accident,5.0,2025-05-10 23:54:00
INC-0281,E-10,Structure Fire,6.85,2025-06-29 09:41:00
INC-0282,E-26,Structure Fire,11.36,2025-11-01 22:05:00
INC-0283,E-20,Vehicle Accident,5.15,2025-03-07 21:44:00
INC-0284,E-34,Medical Emergency,7.2,2025-11-27 21:27:00
INC-0285,E-33,Structure Fire,6.97,2025-04-20 10:49:00
INC-0286,E-32,Structure Fire,10.31,2025-04-26 04:09:00
INC-0287,E-05,Water Rescue,7.25,2025-10-04 23:56:00
INC-0288,E-34,Medical Emergency,12.72,2025-12-05 10:56:00
INC-0289,E-09,Structure Fire,7.31,2025-12-21 19:51:00
INC-0290,E-11,Confined Space,7.67,2025-08-13 01:26:00
INC-0291,E-24,Hazmat,7.68,2025-11-09 09:48:00
INC-0292,E-29,Structure Fire,6.85,2025-10-01 07:19:00
INC-0293,E-31,Confined Space,9.85,2025-10-20 14:29:00
INC-0294,E-19,High Rise Rescue,7.57,2025-07-15 16:33:00
INC-0295,E-27,High Rise Rescue,13.0,2025-11-06 04:55:00
INC-0296,E-17,Medical Emergency,7.53,2025-11-25 15:55:00
INC-0297,E-24,High Rise Rescue,7.4,2025-09-22 03:18:00
INC-0298,E-06,High Rise Rescue,8.11,2025-03-24 08:28:00
INC-0299,E-33,Structure Fire,10.11,2025-08-19 11:59:00
INC-0300,E-02,Hazmat,10.64,2025-01-28 12:32:00
INC-0301,E-24,Vehicle Accident,9.22,2025-04-25 00:20:00
INC-0302,E-07,High Rise Rescue,16.54,2025-11-29 10:50:00
INC-0303,E-10,High Rise Rescue,9.83,2025-08-30 22:53:00
INC-0304,E-09,High Rise Rescue,10.06,2025-12-28 15:28:00
INC-0305,E-01,Structure Fire,8.91,2025-03-18 17:46:00
INC-0306,E-34,Hazmat,8.23,2025-02-26 09:15:00
INC-0307,E-20,Confined Space,9.83,2025-11-15 14:04:00
INC-0308,E-08,High Rise Rescue,9.78,2025-09-13 19:34:00
INC-0309,E-02,Confined Space,6.29,2025-03-15 09:27:00
INC-0310,E-01,Water Rescue,6.09,2025-06-30 07:36:00
INC-0311,E-27,Water Rescue,9.93,2025-07-04 02:33:00
INC-0312,E-35,Water Rescue,11.93,2025-09-17 17:01:00
INC-0313,E-25,Hazmat,9.02,2025-07-11 08:47:00
INC-0314,E-02,Vehicle Accident,7.97,2025-02-04 11:15:00
INC-0315,E-07,Vehicle Accident,9.05,2025-03-10 01:22:00
INC-0316,E-35,Vehicle Accident,4.46,2025-11-26 05:53:00
INC-0317,E-30,Structure Fire,11.33,2025-03-11 02:45:00
INC-0318,E-30,Medical Emergency,8.16,2025-05-31 06:02:00
INC-0319,E-13,Vehicle Accident,10.14,2025-09-21 12:52:00
INC-0320,E-35,Hazmat,7.07,2025-05-10 01:48:00
INC-0321,E-13,Medical Emergency,7.38,2025-12-02 10:17:00
INC-0322,E-08,High Rise Rescue,13.35,2025-07-08 13:56:00
INC-0323,E-26,Hazmat,8.28,2025-06-23 05:31:00
INC-0324,E-32,Vehicle Accident,3.2,2025-09-23 08:51:00
INC-0325,E-06,Water Rescue,8.35,2025-04-03 17:18:00
INC-0326,E-21,Medical Emergency,7.5,2025-02-10 10:42:00
INC-0327,E-19,Hazmat,7.32,2025-03-27 22:28:00
INC-0328,E-23,Hazmat,11.68,2025-01-22 23:55:00
INC-0329,E-23,Confined Space,6.49,2025-01-30 02:42:00
INC-0330,E-26,Vehicle Accident,6.74,2025-09-20 23:43:00
INC-0331,E-11,Water Rescue,9.83,2025-12-14 14:02:00
INC-0332,E-09,Medical Emergency,8.09,2025-05-01 20:23:00
INC-0333,E-24,Water Rescue,6.1,2025-03-20 21:28:00
INC-0334,E-24,Vehicle Accident,10.67,2025-08-16 02:36:00
INC-0335,E-09,Confined Space,6.02,2025-05-23 07:07:00
INC-0336,E-02,Confined Space,8.04,2025-04-06 15:33:00
INC-0337,E-25,High Rise Rescue,9.57,2025-05-14 22:28:00
INC-0338,E-14,Water Rescue,7.85,2025-05-27 22:58:00
INC-0339,E-32,Medical Emergency,8.92,2025-08-20 05:57:00
INC-0340,E-29,Medical Emergency,9.78,2025-12-16 10:42:00
INC-0341,E-23,Vehicle Accident,7.71,2025-06-03 05:45:00
INC-0342,E-12,High Rise Rescue,5.44,2025-07-05 16:14:00
INC-0343,E-08,Structure Fire,12.91,2025-09-10 00:23:00
INC-0344,E-24,Hazmat,8.09,2025-10-10 04:39:00
INC-0345,E-06,Confined Space,10.81,2025-09-03 16:26:00
INC-0346,E-27,High Rise Rescue,9.51,2025-10-22 02:08:00
INC-0347,E-21,Confined Space,6.79,2025-09-22 11:08:00
INC-0348,E-12,High Rise Rescue,6.37,2025-03-08 13:32:00
INC-0349,E-04,Vehicle Accident,9.98,2025-03-26 05:20:00
INC-0350,E-15,Vehicle Accident,5.87,2025-09-23 09:54:00
INC-0351,E-06,Water Rescue,8.49,2025-05-21 04:40:00
INC-0352,E-20,Water Rescue,12.05,2025-10-01 02:32:00
INC-0353,E-11,Structure Fire,5.74,2025-12-04 19:46:00
INC-0354,E-22,High Rise Rescue,6.7,2025-10-16 01:52:00
INC-0355,E-02,High Rise Rescue,13.81,2025-10-23 08:41:00
INC-0356,E-14,High Rise Rescue,11.47,2025-10-20 13:39:00
INC-0357,E-02,Vehicle Accident,4.99,2025-11-25 09:30:00
INC-0358,E-16,High Rise Rescue,8.54,2025-12-17 12:19:00
INC-0359,E-30,Hazmat,9.29,2025-08-01 15:29:00
INC-0360,E-14,Vehicle Accident,8.89,2025-11-07 04:20:00
INC-0361,E-21,Hazmat,8.01,2025-03-08 11:32:00
INC-0362,E-07,Vehicle Accident,3.56,2025-05-04 14:07:00
INC-0363,E-18,Medical Emergency,7.19,2025-05-29 12:55:00
INC-0364,E-27,Structure Fire,8.93,2025-03-23 10:59:00
INC-0365,E-21,Water Rescue,9.04,2025-08-28 15:56:00
INC-0366,E-20,Hazmat,9.87,2025-01-12 02:25:00
INC-0367,E-33,Water Rescue,6.71,2025-06-30 01:03:00
INC-0368,E-19,Hazmat,8.99,2025-11-02 20:43:00
INC-0369,E-31,Medical Emergency,8.43,2025-08-09 04:56:00
INC-0370,E-17,Confined Space,8.81,2025-07-07 12:23:00
INC-0371,E-03,Structure Fire,5.86,2025-07-05 17:18:00
INC-0372,E-05,Hazmat,10.4,2025-09-16 14:48:00
INC-0373,E-18,Water Rescue,10.09,2025-03-02 04:06:00
INC-0374,E-26,Vehicle Accident,5.39,2025-06-23 17:23:00
INC-0375,E-10,Water Rescue,9.44,2025-01-21 01:02:00
INC-0376,E-09,Confined Space,11.33,2025-06-20 15:33:00
INC-0377,E-30,Structure Fire,11.64,2025-06-17 19:20:00
INC-0378,E-11,Hazmat,12.76,2025-11-12 23:53:00
INC-0379,E-20,Water Rescue,6.03,2025-09-30 15:45:00
INC-0380,E-20,Hazmat,6.85,2025-01-09 11:21:00
INC-0381,E-08,High Rise Rescue,11.78,2025-12-19 20:01:00
INC-0382,E-31,Vehicle Accident,8.08,2025-12-02 18:36:00
INC-0383,E-15,Structure Fire,7.91,2025-09-26 20:46:00
INC-0384,E-25,Structure Fire,5.24,2025-12-15 07:02:00
INC-0385,E-08,Hazmat,9.48,2025-03-19 13:44:00
INC-0386,E-14,Hazmat,11.01,2025-09-14 19:58:00
INC-0387,E-31,Medical Emergency,11.34,2025-12-28 04:33:00
INC-0388,E-14,Water Rescue,5.58,2025-06-16 21:30:00
INC-0389,E-34,Hazmat,4.02,2025-09-30 10:34:00
INC-0390,E-23,Confined Space,12.88,2025-12-15 20:51:00
INC-0391,E-17,Structure Fire,7.24,2025-05-23 17:19:00
INC-0392,E-15,Vehicle Accident,7.46,2025-05-28 22:13:00
INC-0393,E-32,High Rise Rescue,7.55,2025-05-21 09:07:00
INC-0394,E-35,Hazmat,10.61,2025-07-22 11:49:00
INC-0395,E-10,Confined Space,7.98,2025-02-10 11:59:00
INC-0396,E-29,Confined Space,10.49,2025-05-12 23:30:00
INC-0397,E-14,Water Rescue,9.42,2025-12-23 08:08:00
INC-0398,E-07,Water Rescue,11.47,2025-10-28 07:15:00
INC-0399,E-04,Confined Space,7.02,2025-04-30 01:06:00
INC-0400,E-27,Vehicle Accident,5.81,2025-08-30 03:43:00
INC-0401,E-09,Structure Fire,11.66,2025-07-28 20:59:00
INC-0402,E-31,Hazmat,8.6,2025-11-30 06:48:00
INC-0403,E-19,High Rise Rescue,6.94,2025-02-15 20:36:00
INC-0404,E-15,Water Rescue,11.75,2025-01-20 05:26:00
INC-0405,E-12,High Rise Rescue,9.12,2025-07-23 15:11:00
