incident_id,call_timestamp,incident_type,severity_level,hazard_type,station,vehicle_id,vehicle_type,latitude,longitude,dispatch_timestamp,arrival_timestamp,cleared_timestamp,distance_km,response_minutes,vehicle_status,is_first_arrival
INC-00795,2025-01-03 06:56:15,Medical Emergency,3,Medical,Station 07,R-04,Rescue,31.524095,74.311487,2025-01-03 06:59:15.451390332,2025-01-03 07:05:24.175191522,2025-01-03 08:49:57.807955529,4.75,6.15,Available,True
INC-00275,2025-01-03 14:34:41,Medical Emergency,2,Medical,Station 21,E-08,Engine,31.549942,74.368067,2025-01-03 14:36:36.957018626,2025-01-03 14:41:20.434333070,2025-01-03 16:14:11.835337832,6.25,4.72,Available,False
INC-00088,2025-01-04 03:30:36,High-Rise Rescue,4,High-Rise,Station 12,R-03,Rescue,31.472654,74.360325,2025-01-04 03:32:30.198553884,2025-01-04 03:45:16.746290634,2025-01-04 05:52:35.246929344,15.46,12.78,Available,True
INC-00649,2025-01-04 08:13:10,Vehicle Accident,4,Road Traffic,Station 07,E-07,Engine,31.533193,74.332141,2025-01-04 08:16:03.050950264,2025-01-04 08:27:48.655237180,2025-01-04 10:16:49.939603180,10.94,11.76,Available,True
INC-01059,2025-01-04 18:55:59,High-Rise Rescue,3,High-Rise,Station 21,R-02,Rescue,31.560768,74.401418,2025-01-04 18:59:35.321777972,2025-01-04 19:10:14.540738036,2025-01-04 20:52:29.056604366,7.79,10.65,Available,False
INC-00239,2025-01-05 15:51:30,Structure Fire,4,Fire,Station 21,R-03,Rescue,31.587652,74.365293,2025-01-05 15:53:49.533441738,2025-01-05 16:00:06.550133574,2025-01-05 18:03:28.705539354,4.13,6.28,Available,False
INC-00903,2025-01-05 21:39:30,Water Rescue,4,Water,Station 03,W-02,Water Rescue Unit,31.530988,74.388153,2025-01-05 21:43:16.701542166,2025-01-05 22:00:18.499575804,2025-01-05 23:58:05.851187310,15.04,17.03,Available,True
INC-00484,2025-01-06 03:38:21,Hazmat,4,Chemical,Station 12,H-02,Hazmat Unit,31.47539,74.389183,2025-01-06 03:40:39.872323110,2025-01-06 03:49:30.758678646,2025-01-06 05:37:44.382605532,6.62,8.85,Dispatched,True
INC-00856,2025-01-06 04:32:25,Water Rescue,3,Water,Station 21,W-02,Water Rescue Unit,31.581085,74.40292,2025-01-06 04:33:59.886102190,2025-01-06 04:41:23.424375898,2025-01-06 06:16:29.027526460,4.09,7.39,Available,False
INC-00565,2025-01-06 04:49:55,Medical Emergency,1,Medical,Station 12,R-02,Rescue,31.484694,74.375852,2025-01-06 04:51:00.929782906,2025-01-06 04:54:00.929782906,2025-01-06 06:19:34.940023701,2.06,3.0,Available,True
INC-00689,2025-01-06 16:24:32,Structure Fire,4,Fire,Station 07,E-05,Engine,31.524434,74.331752,2025-01-06 16:27:01.678030460,2025-01-06 16:37:10.472197496,2025-01-06 18:25:43.048119488,11.43,10.15,Available,True
INC-00166,2025-01-06 16:27:14,Medical Emergency,2,Medical,Station 21,E-08,Engine,31.561391,74.405402,2025-01-06 16:29:23.330201096,2025-01-06 16:35:13.580762000,2025-01-06 18:33:53.581693604,8.78,5.84,Dispatched,True
INC-00942,2025-01-06 18:12:42,Medical Emergency,3,Medical,Station 03,R-03,Rescue,31.51843,74.406329,2025-01-06 18:15:16.403513148,2025-01-06 18:25:05.749228980,2025-01-06 19:51:00.218745138,7.03,9.82,Available,True
INC-00503,2025-01-06 18:34:23,Structure Fire,4,Fire,Station 03,E-06,Engine,31.537759,74.3455,2025-01-06 18:38:09.702698576,2025-01-06 18:46:16.638533690,2025-01-06 20:42:30.050349656,3.99,8.12,Available,True
INC-00382,2025-01-06 19:12:37,Structure Fire,5,Fire,Station 03,E-02,Engine,31.490773,74.376346,2025-01-06 19:17:24.419253610,2025-01-06 19:31:05.079107110,2025-01-06 21:39:03.542144254,11.52,13.68,Available,False
INC-00603,2025-01-07 03:05:25,Medical Emergency,3,Medical,Station 21,E-01,Engine,31.563905,74.389546,2025-01-07 03:08:06.200478334,2025-01-07 03:18:02.515563610,2025-01-07 04:47:20.486595190,4.12,9.94,Available,False
INC-00723,2025-01-07 03:43:51,Medical Emergency,3,Medical,Station 07,R-01,Rescue,31.563321,74.337673,2025-01-07 03:46:32.385829788,2025-01-07 03:55:44.373916296,2025-01-07 06:16:45.488232996,7.8,9.2,Available,False
INC-01067,2025-01-07 08:50:22,Structure Fire,4,Fire,Station 07,L-01,Ladder,31.549378,74.308716,2025-01-07 08:52:40.322700238,2025-01-07 09:00:45.339322648,2025-01-07 10:44:11.693728894,5.32,8.08,Available,True
INC-00346,2025-01-07 10:03:14,Vehicle Accident,2,Road Traffic,Station 07,E-02,Engine,31.536156,74.292206,2025-01-07 10:05:45.835969820,2025-01-07 10:17:20.143986404,2025-01-07 11:16:43.163357726,13.49,11.57,Available,True
INC-00101,2025-01-07 12:51:25,Vehicle Accident,3,Road Traffic,Station 12,R-04,Rescue,31.494535,74.378178,2025-01-07 12:53:01.752969394,2025-01-07 12:57:54.433586134,2025-01-07 14:41:39.124406032,4.74,4.88,Available,True
INC-00534,2025-01-08 12:19:10,Hazmat,4,Chemical,Station 12,H-02,Hazmat Unit,31.470831,74.374233,2025-01-08 12:20:35.150841460,2025-01-08 12:28:15.208251832,2025-01-08 14:15:55.262015650,6.93,7.67,Dispatched,False
INC-00533,2025-01-08 17:05:26,Medical Emergency,4,Medical,Station 12,R-03,Rescue,31.481176,74.35934,2025-01-08 17:07:28.196780408,2025-01-08 17:16:05.559188156,2025-01-08 19:09:55.491314744,4.09,8.62,Dispatched,True
INC-00750,2025-01-08 19:38:30,Structure Fire,4,Fire,Station 21,L-02,Ladder,31.546386,74.371706,2025-01-08 19:40:36.063122070,2025-01-08 19:54:26.919044976,2025-01-08 22:36:43.950985572,10.46,13.85,Available,True
INC-01079,2025-01-09 04:34:49,Medical Emergency,3,Medical,Station 12,R-02,Rescue,31.471823,74.378241,2025-01-09 04:36:44.012619760,2025-01-09 04:46:23.633220010,2025-01-09 06:34:10.161309916,10.26,9.66,Dispatched,False
INC-00186,2025-01-09 21:46:38,Medical Emergency,3,Medical,Station 21,R-02,Rescue,31.547248,74.407609,2025-01-09 21:48:21.158735444,2025-01-09 22:03:26.676240512,2025-01-09 23:44:34.195607516,15.83,15.09,Available,True
INC-00598,2025-01-10 07:08:48,Medical Emergency,2,Medical,Station 21,R-04,Rescue,31.574841,74.399015,2025-01-10 07:11:06.047815404,2025-01-10 07:18:12.278891640,2025-01-10 08:26:18.320828214,4.47,7.1,Available,False
INC-00274,2025-01-10 09:52:48,Structure Fire,4,Fire,Station 03,E-01,Engine,31.504145,74.357057,2025-01-10 09:55:54.237741450,2025-01-10 10:07:23.233618560,2025-01-10 11:52:11.034813972,12.09,11.48,Dispatched,False
INC-00193,2025-01-11 02:52:51,High-Rise Rescue,5,High-Rise,Station 03,L-02,Ladder,31.542037,74.341026,2025-01-11 02:55:17.171918742,2025-01-11 03:03:59.640552408,2025-01-11 04:57:59.912762496,7.72,8.71,Available,False
INC-00322,2025-01-11 12:58:01,Hazmat,5,Chemical,Station 07,E-07,Engine,31.544631,74.307238,2025-01-11 13:02:04.638179530,2025-01-11 13:06:39.661505134,2025-01-11 15:41:02.615832124,2.66,4.58,Dispatched,True
INC-00531,2025-01-12 12:42:41,Structure Fire,3,Fire,Station 12,E-04,Engine,31.489265,74.352273,2025-01-12 12:44:31.782216878,2025-01-12 12:52:07.835526572,2025-01-12 14:37:14.547466904,4.36,7.6,Available,False
INC-00105,2025-01-12 15:48:13,Medical Emergency,3,Medical,Station 03,E-03,Engine,31.536533,74.36764,2025-01-12 15:51:38.584189636,2025-01-12 16:03:19.699886956,2025-01-12 17:44:52.457890252,12.64,11.69,Dispatched,True
INC-00600,2025-01-13 01:47:13,Confined Space,3,Confined Space,Station 07,E-01,Engine,31.52352,74.354913,2025-01-13 01:50:18.988858780,2025-01-13 01:58:35.562300538,2025-01-13 04:12:58.008448324,7.49,8.28,Available,False
INC-01112,2025-01-13 09:57:27,Vehicle Accident,3,Road Traffic,Station 21,E-08,Engine,31.59212,74.400574,2025-01-13 10:00:16.366245744,2025-01-13 10:10:16.589771856,2025-01-13 11:45:16.758755898,9.95,10.0,Available,True
INC-00546,2025-01-13 11:53:20,Vehicle Accident,4,Road Traffic,Station 03,R-03,Rescue,31.526997,74.343618,2025-01-13 11:55:46.451172002,2025-01-13 12:02:54.476625668,2025-01-13 14:36:19.459282076,5.33,7.13,Available,True
INC-00690,2025-01-13 13:54:40,Medical Emergency,5,Medical,Station 03,E-06,Engine,31.52933,74.408847,2025-01-13 13:56:46.545896860,2025-01-13 14:03:27.959819326,2025-01-13 16:04:50.972606482,4.85,6.69,Available,False
INC-00667,2025-01-13 17:42:47,Structure Fire,4,Fire,Station 07,E-05,Engine,31.539582,74.332592,2025-01-13 17:45:05.002249472,2025-01-13 17:52:19.335682910,2025-01-13 20:23:56.116044926,4.18,7.24,Dispatched,True
INC-00292,2025-01-13 22:50:43,Medical Emergency,1,Medical,Station 21,E-08,Engine,31.547577,74.367899,2025-01-13 22:54:46.995840328,2025-01-13 23:03:15.014092180,2025-01-14 00:20:11.104116448,6.02,8.47,Available,False
INC-00222,2025-01-14 21:44:42,Medical Emergency,1,Medical,Station 12,E-08,Engine,31.472284,74.412635,2025-01-14 21:46:30.497906058,2025-01-14 21:55:54.555504990,2025-01-14 22:41:53.059571028,6.91,9.4,Available,True
INC-00362,2025-01-15 08:44:42,Medical Emergency,1,Medical,Station 03,E-08,Engine,31.501224,74.356984,2025-01-15 08:46:10.508222724,2025-01-15 08:59:52.115745282,2025-01-15 09:46:22.065394614,11.88,13.69,Available,False
INC-00027,2025-01-15 14:45:52,Structure Fire,4,Fire,Station 12,R-02,Rescue,31.495298,74.343021,2025-01-15 14:49:39.684337540,2025-01-15 15:00:54.972220012,2025-01-15 17:07:10.368307882,8.73,11.25,Available,False
INC-00119,2025-01-15 20:59:20,High-Rise Rescue,4,High-Rise,Station 12,R-01,Rescue,31.471166,74.356994,2025-01-15 21:02:08.588623574,2025-01-15 21:11:02.044448438,2025-01-15 23:05:06.878618984,5.42,8.89,Available,True
INC-00838,2025-01-15 21:24:03,Medical Emergency,3,Medical,Station 12,R-04,Rescue,31.525832,74.404305,2025-01-15 21:28:05.844146490,2025-01-15 21:40:39.062066051,2025-01-15 23:28:36.670465637,11.02,12.55,Available,True
INC-00937,2025-01-16 13:20:27,Medical Emergency,3,Medical,Station 07,E-01,Engine,31.531821,74.354413,2025-01-16 13:23:18.774690210,2025-01-16 13:26:57.231581730,2025-01-16 14:43:58.615390554,1.82,3.64,Available,True
INC-00662,2025-01-16 15:44:55,Medical Emergency,4,Medical,Station 21,R-02,Rescue,31.553225,74.389876,2025-01-16 15:48:09.566047126,2025-01-16 15:54:12.669409564,2025-01-16 18:10:15.540297202,2.55,6.05,Available,False
INC-00685,2025-01-17 06:05:30,Vehicle Accident,3,Road Traffic,Station 03,R-03,Rescue,31.527289,74.340821,2025-01-17 06:08:06.721796130,2025-01-17 06:18:18.550838688,2025-01-17 08:11:50.941376748,9.12,10.2,Available,True
INC-00483,2025-01-17 08:54:26,High-Rise Rescue,3,High-Rise,Station 07,L-03,Ladder,31.523196,74.314393,2025-01-17 08:56:33.320431244,2025-01-17 09:02:00.151222466,2025-01-17 10:32:14.209303652,3.46,5.45,Available,True
INC-00438,2025-01-17 09:56:15,Medical Emergency,2,Medical,Station 07,E-03,Engine,31.485064,74.348672,2025-01-17 09:58:41.348728974,2025-01-17 10:08:13.023031871,2025-01-17 11:34:57.410746751,6.6,9.53,Available,True
INC-00584,2025-01-17 11:21:26,Confined Space,4,Confined Space,Station 12,E-01,Engine,31.479061,74.370724,2025-01-17 11:24:34.717627376,2025-01-17 11:33:42.921781484,2025-01-17 13:24:16.992685825,6.89,9.14,Available,True
INC-00869,2025-01-17 20:08:28,Medical Emergency,3,Medical,Station 21,R-02,Rescue,31.559917,74.387494,2025-01-17 20:12:39.815658568,2025-01-17 20:20:20.423126032,2025-01-17 21:40:07.215927082,6.45,7.68,Available,True
INC-00063,2025-01-17 23:08:09,Vehicle Accident,5,Road Traffic,Station 07,E-07,Engine,31.549305,74.327014,2025-01-17 23:09:54.466374126,2025-01-17 23:15:55.001207976,2025-01-18 00:51:08.127099780,4.77,6.01,Dispatched,True
INC-01055,2025-01-18 18:07:06,Medical Emergency,3,Medical,Station 12,R-03,Rescue,31.489983,74.349512,2025-01-18 18:10:18.167065578,2025-01-18 18:21:47.967357078,2025-01-18 20:37:58.055834526,6.0,11.5,Available,False
INC-00954,2025-01-19 12:33:16,Confined Space,4,Confined Space,Station 03,R-04,Rescue,31.532444,74.362332,2025-01-19 12:36:29.958110512,2025-01-19 12:42:54.980146354,2025-01-19 15:24:56.106116590,2.24,6.42,Available,True
INC-01113,2025-01-19 21:05:07,Vehicle Accident,4,Road Traffic,Station 03,R-01,Rescue,31.533962,74.361725,2025-01-19 21:08:34.571556418,2025-01-19 21:19:24.391377868,2025-01-19 23:05:04.805074942,7.57,10.83,Available,True
INC-00983,2025-01-19 22:12:36,Vehicle Accident,5,Road Traffic,Station 07,E-05,Engine,31.549078,74.330811,2025-01-19 22:15:49.700962482,2025-01-19 22:24:38.765243244,2025-01-20 00:54:09.561163230,6.25,8.82,Available,False
INC-00579,2025-01-20 01:25:11,Structure Fire,3,Fire,Station 03,L-03,Ladder,31.527561,74.371158,2025-01-20 01:26:24.720379760,2025-01-20 01:30:09.060097394,2025-01-20 03:38:38.860861652,2.81,3.74,Available,True
INC-00312,2025-01-20 04:51:06,Medical Emergency,2,Medical,Station 12,E-02,Engine,31.504546,74.34634,2025-01-20 04:54:34.805936952,2025-01-20 05:06:05.087978232,2025-01-20 06:43:41.903831274,8.8,11.5,Available,True
INC-00304,2025-01-20 05:38:29,Medical Emergency,4,Medical,Station 03,R-01,Rescue,31.495339,74.366789,2025-01-20 05:41:34.558868306,2025-01-20 05:49:18.697971344,2025-01-20 08:08:37.692771140,5.49,7.74,Available,True
INC-01000,2025-01-20 22:25:20,Medical Emergency,4,Medical,Station 07,E-02,Engine,31.552461,74.31959,2025-01-20 22:29:17.981897186,2025-01-20 22:38:16.223396996,2025-01-21 00:48:46.089108494,5.61,8.97,Available,True
INC-00136,2025-01-21 02:31:35,Vehicle Accident,5,Road Traffic,Station 12,E-08,Engine,31.496292,74.392891,2025-01-21 02:33:29.843809064,2025-01-21 02:40:39.283560890,2025-01-21 05:52:10.926213254,3.53,7.16,Available,True
INC-00630,2025-01-21 05:33:34,Structure Fire,4,Fire,Station 03,R-01,Rescue,31.528493,74.37373,2025-01-21 05:36:43.070701864,2025-01-21 05:44:53.384459134,2025-01-21 07:21:45.664490530,4.05,8.17,Available,True
INC-01094,2025-01-22 09:43:16,Medical Emergency,3,Medical,Station 07,E-05,Engine,31.535717,74.31723,2025-01-22 09:44:19.755709660,2025-01-22 09:52:39.817275916,2025-01-22 11:05:58.421741656,5.01,8.33,Dispatched,False
INC-01088,2025-01-22 11:16:11,Medical Emergency,3,Medical,Station 12,R-04,Rescue,31.486738,74.34914,2025-01-22 11:18:13.135948172,2025-01-22 11:21:52.415878130,2025-01-22 13:11:15.310149842,3.72,3.65,Available,True
INC-00077,2025-01-22 15:42:08,Structure Fire,3,Fire,Station 21,L-01,Ladder,31.587939,74.361,2025-01-22 15:45:05.100673850,2025-01-22 15:49:49.993524056,2025-01-22 17:48:03.162023540,3.03,4.75,Available,True
INC-00909,2025-01-22 16:23:41,Structure Fire,4,Fire,Station 21,L-03,Ladder,31.556653,74.381298,2025-01-22 16:28:58.669622216,2025-01-22 16:39:55.433569526,2025-01-22 18:31:14.552017328,9.57,10.95,Dispatched,False
INC-00860,2025-01-22 18:04:50,Vehicle Accident,3,Road Traffic,Station 12,E-01,Engine,31.468285,74.357227,2025-01-22 18:08:20.427653006,2025-01-22 18:16:51.960627302,2025-01-22 20:17:34.389176474,4.65,8.53,Dispatched,True
INC-00245,2025-01-23 14:48:29,Vehicle Accident,3,Road Traffic,Station 12,R-04,Rescue,31.481879,74.375979,2025-01-23 14:49:08.495882090,2025-01-23 14:52:44.777968796,2025-01-23 15:56:26.678481206,3.17,3.6,Dispatched,False
INC-00422,2025-01-23 22:58:29,High-Rise Rescue,5,High-Rise,Station 07,E-08,Engine,31.583463,74.311054,2025-01-23 23:00:56.439509744,2025-01-23 23:08:35.080217288,2025-01-24 01:18:38.219672432,3.61,7.64,Dispatched,True
INC-00481,2025-01-24 00:32:53,Vehicle Accident,3,Road Traffic,Station 03,R-01,Rescue,31.532182,74.343477,2025-01-24 00:34:43.786126322,2025-01-24 00:39:06.192019382,2025-01-24 01:50:26.542848644,3.22,4.37,Available,True
INC-00311,2025-01-24 05:49:47,Structure Fire,4,Fire,Station 03,L-03,Ladder,31.534073,74.373179,2025-01-24 05:52:23.697035354,2025-01-24 06:00:31.344149090,2025-01-24 07:50:48.587519708,4.53,8.13,Dispatched,False
INC-00221,2025-01-24 06:03:41,Structure Fire,3,Fire,Station 03,R-01,Rescue,31.539907,74.361558,2025-01-24 06:06:43.813714526,2025-01-24 06:12:46.878990056,2025-01-24 07:53:18.747802790,6.97,6.05,Available,True
INC-00345,2025-01-24 10:59:53,Vehicle Accident,3,Road Traffic,Station 07,R-04,Rescue,31.530809,74.323823,2025-01-24 11:02:42.942090686,2025-01-24 11:13:01.168002266,2025-01-24 13:04:03.886316798,6.74,10.3,Available,True
INC-00694,2025-01-24 19:02:03,Structure Fire,4,Fire,Station 03,L-01,Ladder,31.527044,74.372375,2025-01-24 19:05:51.303120552,2025-01-24 19:18:08.278929612,2025-01-24 20:47:50.242872126,14.08,12.28,Available,True
INC-00314,2025-01-25 20:53:35,Vehicle Accident,3,Road Traffic,Station 07,E-06,Engine,31.542548,74.303608,2025-01-25 20:56:47.482503656,2025-01-25 21:10:14.681511998,2025-01-25 22:59:59.052856838,12.11,13.45,Available,True
INC-00352,2025-01-26 12:24:24,Water Rescue,4,Water,Station 21,W-02,Water Rescue Unit,31.569834,74.414684,2025-01-26 12:25:47.859940380,2025-01-26 12:34:35.587534224,2025-01-26 14:58:50.620377810,9.76,8.8,Available,True
INC-00894,2025-01-26 18:08:20,Medical Emergency,2,Medical,Station 03,R-04,Rescue,31.546105,74.337502,2025-01-26 18:11:57.570417248,2025-01-26 18:22:59.845400834,2025-01-26 19:11:07.833909265,7.65,11.04,Available,True
INC-00007,2025-01-26 20:41:29,Medical Emergency,1,Medical,Station 03,E-06,Engine,31.516227,74.351357,2025-01-26 20:43:48.212423060,2025-01-26 20:52:28.007971322,2025-01-26 21:39:22.216993220,6.24,8.66,Available,True
INC-00235,2025-01-26 20:50:00,Structure Fire,5,Fire,Station 21,R-02,Rescue,31.575526,74.363331,2025-01-26 20:54:30.980209158,2025-01-26 21:04:52.272186408,2025-01-26 23:29:15.393549414,5.74,10.35,Available,True
INC-00695,2025-01-27 00:43:08,Medical Emergency,1,Medical,Station 03,E-06,Engine,31.512073,74.336131,2025-01-27 00:46:27.095635622,2025-01-27 00:55:18.574191116,2025-01-27 01:57:38.937100334,5.11,8.86,Available,True
INC-00420,2025-01-27 06:17:22,Medical Emergency,2,Medical,Station 03,R-01,Rescue,31.538873,74.332626,2025-01-27 06:19:31.977842746,2025-01-27 06:26:58.291887544,2025-01-27 07:45:16.006724776,4.41,7.44,Available,False
INC-00813,2025-01-27 08:19:20,Water Rescue,4,Water,Station 03,R-01,Rescue,31.5003,74.368898,2025-01-27 08:21:41.350619768,2025-01-27 08:28:29.609674364,2025-01-27 10:21:45.653079085,4.39,6.8,Available,True
INC-00635,2025-01-27 11:43:47,Medical Emergency,4,Medical,Station 12,R-02,Rescue,31.461725,74.38063,2025-01-27 11:46:33.326462312,2025-01-27 11:54:19.194726824,2025-01-27 13:51:13.828723508,5.95,7.76,Available,True
INC-00788,2025-01-27 19:42:16,Vehicle Accident,4,Road Traffic,Station 12,E-03,Engine,31.495961,74.349823,2025-01-27 19:47:03.570944302,2025-01-27 19:59:45.480506350,2025-01-27 21:59:45.403482922,9.63,12.7,Available,False
INC-00904,2025-01-28 11:12:19,Structure Fire,4,Fire,Station 03,R-02,Rescue,31.519178,74.361547,2025-01-28 11:16:31.704182398,2025-01-28 11:25:00.701258572,2025-01-28 14:06:58.501611778,7.44,8.48,Dispatched,True
INC-00796,2025-01-28 14:54:48,Medical Emergency,3,Medical,Station 21,R-03,Rescue,31.577108,74.385512,2025-01-28 14:57:17.111418660,2025-01-28 15:02:17.987149146,2025-01-28 16:34:23.001441462,5.19,5.01,Dispatched,False
INC-00050,2025-01-29 02:33:08,Vehicle Accident,3,Road Traffic,Station 07,E-03,Engine,31.560931,74.378124,2025-01-29 02:35:35.099722274,2025-01-29 02:40:10.773447704,2025-01-29 04:13:34.122464660,3.21,4.59,Available,True
INC-01071,2025-01-29 09:35:52,High-Rise Rescue,5,High-Rise,Station 03,L-01,Ladder,31.48661,74.352098,2025-01-29 09:39:48.020850610,2025-01-29 09:52:23.433275278,2025-01-29 12:28:27.481042198,12.12,12.59,Available,True
INC-00229,2025-01-29 18:06:53,High-Rise Rescue,3,High-Rise,Station 12,L-02,Ladder,31.501632,74.410058,2025-01-29 18:10:29.543285360,2025-01-29 18:21:20.713574570,2025-01-29 19:44:03.989291330,7.84,10.85,Dispatched,True
INC-00529,2025-01-29 23:29:31,Vehicle Accident,4,Road Traffic,Station 12,E-05,Engine,31.483465,74.380285,2025-01-29 23:32:26.729819896,2025-01-29 23:40:14.078809084,2025-01-30 02:08:41.374229050,5.09,7.79,Available,True
INC-01098,2025-01-30 05:55:54,Structure Fire,4,Fire,Station 03,L-03,Ladder,31.50378,74.380908,2025-01-30 05:59:07.419147360,2025-01-30 06:10:47.572588806,2025-01-30 07:59:47.835910493,10.46,11.67,Available,True
INC-00213,2025-01-30 09:24:08,Medical Emergency,3,Medical,Station 07,E-06,Engine,31.539605,74.303349,2025-01-30 09:27:26.878078988,2025-01-30 09:37:14.638891904,2025-01-30 10:56:22.938748502,6.08,9.8,Dispatched,True
INC-00241,2025-01-30 11:53:41,Structure Fire,5,Fire,Station 21,R-01,Rescue,31.587243,74.405597,2025-01-30 11:56:06.086505248,2025-01-30 12:04:55.714335590,2025-01-30 14:10:45.941207072,5.77,8.83,Available,True
INC-00299,2025-01-30 14:37:11,Medical Emergency,4,Medical,Station 03,E-01,Engine,31.546656,74.352355,2025-01-30 14:38:46.492249838,2025-01-30 14:47:24.488386796,2025-01-30 16:52:54.718955240,7.01,8.63,Dispatched,True
INC-00714,2025-01-31 01:31:20,Medical Emergency,5,Medical,Station 03,R-02,Rescue,31.537723,74.377635,2025-01-31 01:34:59.774523038,2025-01-31 01:45:24.806333588,2025-01-31 03:33:48.823864460,7.64,10.42,Available,False
INC-00112,2025-01-31 10:45:08,Medical Emergency,5,Medical,Station 12,E-01,Engine,31.459271,74.380778,2025-01-31 10:48:33.618874100,2025-01-31 10:57:02.011487864,2025-01-31 12:51:19.737755630,6.53,8.47,Available,True
INC-00732,2025-01-31 13:25:28,Vehicle Accident,3,Road Traffic,Station 21,E-02,Engine,31.539353,74.40212,2025-01-31 13:28:34.928552842,2025-01-31 13:35:24.959003224,2025-01-31 15:09:41.036118681,3.08,6.83,Available,True
INC-00704,2025-01-31 15:46:30,Medical Emergency,3,Medical,Station 21,R-02,Rescue,31.538363,74.421379,2025-01-31 15:49:56.834331774,2025-01-31 16:00:44.450549994,2025-01-31 17:56:58.663598466,12.65,10.79,Available,True
INC-01036,2025-01-31 18:29:31,Vehicle Accident,5,Road Traffic,Station 03,E-05,Engine,31.496906,74.339746,2025-01-31 18:32:58.131258544,2025-01-31 18:44:06.838888498,2025-01-31 21:19:20.444435074,6.26,11.15,Available,True
INC-00052,2025-01-31 19:44:06,Hazmat,4,Chemical,Station 12,E-02,Engine,31.509597,74.362695,2025-01-31 19:46:57.851757564,2025-01-31 19:54:13.088438094,2025-01-31 21:57:56.360533482,4.18,7.25,Available,True
INC-00930,2025-01-31 21:04:27,Medical Emergency,3,Medical,Station 07,E-08,Engine,31.535078,74.34137,2025-01-31 21:08:28.694118234,2025-01-31 21:19:02.868194441,2025-01-31 23:09:17.266576901,8.0,10.57,Available,True
INC-00071,2025-01-31 21:39:55,Medical Emergency,3,Medical,Station 03,R-02,Rescue,31.521684,74.345723,2025-01-31 21:45:09.863504272,2025-01-31 21:55:02.592234454,2025-01-31 23:08:02.030736670,8.19,9.88,Dispatched,False
INC-01096,2025-02-01 03:34:36,Structure Fire,4,Fire,Station 07,E-01,Engine,31.536516,74.321736,2025-02-01 03:36:48.983679540,2025-02-01 03:43:20.569200204,2025-02-01 05:23:01.478677668,3.92,6.53,Dispatched,True
INC-00520,2025-02-01 05:43:35,Medical Emergency,1,Medical,Station 12,E-03,Engine,31.513157,74.368011,2025-02-01 05:45:23.040219398,2025-02-01 05:52:09.129731570,2025-02-01 06:59:48.404741180,4.19,6.77,Dispatched,True
